review_id,username,ulasan,rating,review_date
15e8c11a-e613-4c7b-b23e-0fd10f6ccc4b,Pengguna Google,mantap 👍👍,5,2025-06-16 05:40:11
217ba3e4-408c-443b-99f6-f25fca738ef8,Pengguna Google,SANGAT MEMBANTU,5,2025-06-16 05:31:45
44eccd20-964b-4c34-b188-b0ec82bcfc7c,Pengguna Google,"dulu pernah download tp gk bisa login gk tau kenapa, katanya musti ke bank tersekat,ini coba download lagi kalo tte gak bisa login ya sudah hapus lg aja gak guna",3,2025-06-16 05:29:07
1a43468e-67cf-4d17-b226-822a23e6553d,Pengguna Google,mantap,5,2025-06-16 05:24:23
0daf5d0c-7f36-4b23-a290-36920dfa2c1d,Pengguna Google,tambah lebih mudah untuk TF kemana aja,5,2025-06-16 05:23:53
f57c4ab3-68b7-4f5f-9002-9995cdb7f70d,Pengguna Google,𝒄𝒖𝒌𝒖𝒑 𝒃𝒂𝒊𝒌,5,2025-06-16 05:21:54
e5d79072-31a6-480d-be3e-5b21dcec188f,Pengguna Google,bagusssss,4,2025-06-16 05:06:30
1992aca9-0f83-4b1a-b79a-009baf94c594,Pengguna Google,"aplikasi tolol mau daftar aja susah. edit: susah saat photo ktp + edit : sama aja gak bisa, saran gw mending kasih fitur login lewat kartu ATM biar mudah dah simpel (kalo masih tetap begini gak bakalan banyak peminat, mending pakai BRImo lebih mudah saat daftar)",1,2025-06-16 04:47:27
571b3dc4-c01f-4952-ae2d-46cdcec28bd6,Pengguna Google,ok,5,2025-06-16 04:44:51
62295aaf-9e19-4aab-88e4-c87338c69b12,Pengguna Google,"saya bru aja instal wondr, tapi untuk masuk ke login itu butuh waktu lama sekali, sedangkan internet saya lancar, kuota banyak dan yg jelas perangkat saya juga sudah tahun tinggi. untuk developer, mohon di perbaiki secara berkala dan jangan terlalu banyak debugging. karena saya pribadi, sering menggunakan mobile banking ini untuk qris ataupun transfer. dan menunggu untuk ke laman login membutuhkan waktu sekitar hampir 5 menit. mohon untuk perbaikan sistemnya",4,2025-06-16 04:17:40
2cdb98ec-e7ec-406a-a9bf-2edcc5cb35bc,Pengguna Google,mantap mudah semua,4,2025-06-16 04:13:37
da7e4d91-0d79-4f0e-a7af-68654d7946e2,Pengguna Google,The best,5,2025-06-16 04:10:21
27c046cd-182a-40a4-8774-e136ead41ba1,Pengguna Google,fast and free,5,2025-06-16 04:05:11
be9a5762-895f-4de3-961d-f21dfe66fc0d,Pengguna Google,"apk ga niat, mau bayar pdam aja ga bisa². mending BNI MB.",1,2025-06-16 04:03:13
1fea1664-0b75-418f-a9b3-5178b74942f9,Pengguna Google,lumayan sangat membantu untuk transaksi dengan keluarga saya👍,4,2025-06-16 04:01:13
3738e682-cd56-4adc-9487-223f1863aaaf,Pengguna Google,mantap,5,2025-06-16 03:58:48
ce9caa80-f0a4-4fdb-b364-7e118b88d1f3,Pengguna Google,baik,5,2025-06-16 03:48:51
6575bea3-011f-4369-800d-702aba4319c0,Pengguna Google,"ok, saya puas. Cuma fitur e- wallet mohon di permudah dan lebih jelas.",5,2025-06-16 03:43:59
bec68f3b-5ab9-4cb0-859a-d082af27275c,Pengguna Google,pokok nya terbaik,5,2025-06-16 03:42:21
31f6a6b9-265a-4702-80d4-db221a7c036d,Pengguna Google,"Trimakasih telah memudahkan, semoga selalu berjaya dan menjadi andalan banyak orang",5,2025-06-16 03:37:25
42aeb0c5-c7fa-4274-acc9-f586a96ff43b,Pengguna Google,"knp susah sekali verifikasi wajahnyaa,ini punya mama saya dapet bantuan bpnt pake bank bni tapi knp susah bgt verifikasi buat orng yg sakit mama saya sakit susah buat gerakin kelapa dan kedipin mata harus di bikin gampang buat orng yg sakit",4,2025-06-16 03:13:53
759ca7d9-3c4e-4ca4-8f4f-54c3466f2ae0,Pengguna Google,mempermudah keperluan sehari².,4,2025-06-16 03:10:34
a5927541-840f-4309-bc28-f1d87dd3f965,Pengguna Google,oke,4,2025-06-16 03:05:08
b967abf7-787b-43e8-8503-bbd64f05514c,Pengguna Google,👍👍👍,5,2025-06-16 03:03:00
3eeeded5-89d1-4f8e-a15f-72d4560a2dc5,Pengguna Google,mudah praktis dan aman apalagi ada hadiah yang sangat menarik dan mudah²an dapat salah satunya.,5,2025-06-16 02:57:38
733a8ce8-676a-4360-bbb1-127d1a5a0977,Pengguna Google,mantap,5,2025-06-16 02:46:39
11a96e82-051b-4936-9975-44013d150a4f,Pengguna Google,oke,5,2025-06-16 02:36:09
9b0a3b5a-1da5-4f09-af71-e8b39d708157,Pengguna Google,"kita yg di Hongkong ribet lah harus bawa"" dokumen ke kantor ganti app, lagian klw kegunaannya SAMA nga pain mesti ganti sih? aku sdh nyaman pake BNI MBANKING Ada"" aja gebrakannya. mana kantor BNI fi Hongkong yg causwayby staf e JUDES! ganti aplikasi harus ke kantor,, buat ini itu harus ke kantor RIBET. ganti bank dah.",1,2025-06-16 02:34:45
64529047-f5f0-4a51-ba2a-f3ac80b61ffe,Pengguna Google,"Aplikasinya bagus, saran saya ada berapa nama bank yang belum masuk dalam daftar pencarian, saran saya tolong di lengkapi, trimaksih",5,2025-06-16 02:25:55
9c0c5006-ca87-4273-91e9-11db1a88a8c6,Pengguna Google,sudah 8bulan pake apk BNI mobile di ajukan pindah ke apk wonder ini tapi tidak pernah berhasil saat ferifikasi wajah,1,2025-06-16 02:17:29
9e45ec31-b165-4dbb-b3a8-af9c22bfce01,Pengguna Google,"Fitur nya sangat baik,,untuk transaksi cepat,,. suka deh dengan aplikasi ini",5,2025-06-16 02:02:37
d0c0f250-0d5b-4772-b527-6871189ccdc2,Pengguna Google,"ini aplikasi wondr kok tidak bisa dibuka ya selalu ngestuck diawal aplikasi di klikan pertama setiap mau login, gitu aja terus jadi tidak bisa dipakai transaksi online",1,2025-06-16 01:59:52
421bcd61-2830-401d-a0db-d61f651f8b95,Pengguna Google,joss gandos 👍,5,2025-06-16 01:57:51
b90b9fcd-3547-42a9-be26-2c91033c0caf,Pengguna Google,good,5,2025-06-16 01:51:16
48cda277-5049-485e-8841-ec399defcd11,Pengguna Google,lebih mudah di gunakan untuk segala hal pembayaran,5,2025-06-16 01:35:05
94dcef6c-2d5b-4848-b29c-89327529f0bf,Pengguna Google,bagus dan sangat membantu cuma baru baru ini ko susah sekali buka aplikasi y tiap buka pasti kelempar😭,5,2025-06-16 01:23:15
75171624-c4c5-41c9-853d-592e1c89dd85,Pengguna Google,ok,5,2025-06-16 01:19:54
c5c6efc7-43fb-40d2-9afa-95db5cd92cbe,Pengguna Google,"rekening saya yang masuk ke wondr adalah rekening yang dulu buat nerima BSU, rekening yang aktif tidak masuk di wondr",1,2025-06-16 01:12:49
b7959a86-f29a-4609-8a5a-29bc448c5dec,Pengguna Google,lebih mudah,5,2025-06-16 01:04:47
564decfa-f766-4cab-b141-ee39ae185e43,Pengguna Google,"aplikasi yang ga jelas. masa buka nya saja lamaa, haruss nunggu waktu beberapa menit. ini benaran buat orang keganggu, mulai dari transaksi dan lain sebagainya. tolong dong, pakai tolong banget bisa ga hal ini di perbaiki. karena waktu untuk membuka apk saja itu udah membuat kesal karena waktu yang terbuang begitu sajaa, hanya untuk membuka apk. sangat tidak fleksibel jika masalah ini masih tidak bisa di perbaiki",2,2025-06-16 00:46:12
f8532f88-bd30-450b-9e46-6962c0dc9a5f,Pengguna Google,bagus sekali,5,2025-06-16 00:38:08
4ee6d1c7-1229-431f-993c-3dc2378d7404,Pengguna Google,layanan sangat baik,5,2025-06-16 00:37:27
bc99e751-f002-4aa4-80d5-b61a9d6ccc1d,Pengguna Google,sangat memuaskan,5,2025-06-16 00:33:03
122c6795-61c7-47cc-9c01-1dfb5d94a4f6,Pengguna Google,keren aplikasi membantu,5,2025-06-16 00:32:28
